timestamp, light1, light2, light3, UUID 
1498223420616,855,4169,855,,80ec3f676e17debf
1498223420796,829,4191,829,,80ec3f676e17debf
1498223420796,829,4191,829,,80ec3f676e17debf
1498223420980,807,4207,807,,80ec3f676e17debf
1498223421156,798,4256,798,,80ec3f676e17debf
1498223421337,772,4241,772,,80ec3f676e17debf
1498223421337,772,4241,772,,80ec3f676e17debf
1498223421524,750,4191,750,,80ec3f676e17debf
1498223421695,727,4182,727,,80ec3f676e17debf
1498223421695,727,4182,727,,80ec3f676e17debf
1498223421875,696,4182,696,,80ec3f676e17debf
1498223421875,696,4182,696,,80ec3f676e17debf
1498223422056,678,4201,678,,80ec3f676e17debf
1498223422056,678,4201,678,,80ec3f676e17debf
1498223422415,671,4239,671,,80ec3f676e17debf
1498223422595,645,4171,645,,80ec3f676e17debf
1498223422595,645,4171,645,,80ec3f676e17debf
1498223422777,652,4231,652,,80ec3f676e17debf
1498223422777,652,4231,652,,80ec3f676e17debf
1498223422961,709,4387,709,,80ec3f676e17debf
1498223422961,709,4387,709,,80ec3f676e17debf
1498223423136,757,4492,757,,80ec3f676e17debf
1498223423136,757,4492,757,,80ec3f676e17debf
1498223423317,715,4492,715,,80ec3f676e17debf
1498223423317,715,4492,715,,80ec3f676e17debf
1498223423675,732,4561,732,,80ec3f676e17debf
1498223423675,732,4561,732,,80ec3f676e17debf
1498223423855,710,4563,710,,80ec3f676e17debf
1498223423855,710,4563,710,,80ec3f676e17debf
1498223424035,710,4563,710,,80ec3f676e17debf
1498223424035,710,4563,710,,80ec3f676e17debf
1498223424581,635,4612,635,,80ec3f676e17debf
1498223424755,664,4615,664,,80ec3f676e17debf
1498223424755,664,4615,664,,80ec3f676e17debf
1498223424940,647,4594,647,,80ec3f676e17debf
1498223424940,647,4594,647,,80ec3f676e17debf
1498223425117,610,4583,610,,80ec3f676e17debf
1498223425297,576,4597,576,,80ec3f676e17debf
1498223425655,515,4548,515,,80ec3f676e17debf
1498223425655,515,4548,515,,80ec3f676e17debf
1498223425854,527,4597,527,,80ec3f676e17debf
1498223425854,527,4597,527,,80ec3f676e17debf
1498223426016,520,4659,520,,80ec3f676e17debf
1498223426195,513,4651,513,,80ec3f676e17debf
1498223426376,506,4642,506,,80ec3f676e17debf
1498223426376,506,4642,506,,80ec3f676e17debf
1498223426555,495,4700,495,,80ec3f676e17debf
1498223426555,495,4700,495,,80ec3f676e17debf
1498223426743,476,4710,476,,80ec3f676e17debf
1498223426743,476,4710,476,,80ec3f676e17debf
1498223426916,462,4692,462,,80ec3f676e17debf
1498223427098,455,4683,455,,80ec3f676e17debf
1498223427098,455,4683,455,,80ec3f676e17debf
1498223427280,455,4683,455,,80ec3f676e17debf
1498223427280,455,4683,455,,80ec3f676e17debf
1498223427455,464,4738,464,,80ec3f676e17debf
1498223427455,464,4738,464,,80ec3f676e17debf
1498223427635,487,4727,487,,80ec3f676e17debf
1498223427635,487,4727,487,,80ec3f676e17debf
1498223427819,506,4716,506,,80ec3f676e17debf
1498223427995,511,4683,511,,80ec3f676e17debf
1498223427995,511,4683,511,,80ec3f676e17debf
1498223428179,509,4716,509,,80ec3f676e17debf
1498223428179,509,4716,509,,80ec3f676e17debf
1498223428356,513,4724,513,,80ec3f676e17debf
1498223428356,513,4724,513,,80ec3f676e17debf
1498223428544,518,4691,518,,80ec3f676e17debf
1498223428544,518,4691,518,,80ec3f676e17debf
1498223428726,514,4691,514,,80ec3f676e17debf
1498223428896,513,4724,513,,80ec3f676e17debf
1498223428896,513,4724,513,,80ec3f676e17debf
1498223429081,513,4724,513,,80ec3f676e17debf
1498223429081,513,4724,513,,80ec3f676e17debf
1498223429256,518,4691,518,,80ec3f676e17debf
1498223429256,518,4691,518,,80ec3f676e17debf
1498223429440,518,4691,518,,80ec3f676e17debf
1498223429440,518,4691,518,,80ec3f676e17debf
1498223429616,520,4659,520,,80ec3f676e17debf
1498223429795,527,4667,527,,80ec3f676e17debf
1498223429795,527,4667,527,,80ec3f676e17debf
1498223429985,527,4667,527,,80ec3f676e17debf
1498223429985,527,4667,527,,80ec3f676e17debf
1498223430160,518,4691,518,,80ec3f676e17debf
1498223430160,518,4691,518,,80ec3f676e17debf
1498223430337,520,4659,520,,80ec3f676e17debf
1498223430337,520,4659,520,,80ec3f676e17debf
1498223430516,518,4691,518,,80ec3f676e17debf
1498223430697,520,4659,520,,80ec3f676e17debf
1498223430697,520,4659,520,,80ec3f676e17debf
1498223430880,513,4651,513,,80ec3f676e17debf
1498223430880,513,4651,513,,80ec3f676e17debf
1498223431075,514,4691,514,,80ec3f676e17debf
1498223431075,514,4691,514,,80ec3f676e17debf
1498223431236,513,4651,513,,80ec3f676e17debf
1498223431236,513,4651,513,,80ec3f676e17debf
1498223431433,511,4683,511,,80ec3f676e17debf
1498223431597,513,4651,513,,80ec3f676e17debf
1498223431597,513,4651,513,,80ec3f676e17debf
1498223431778,502,4708,502,,80ec3f676e17debf
1498223431778,502,4708,502,,80ec3f676e17debf
1498223431956,488,4692,488,,80ec3f676e17debf
1498223431956,488,4692,488,,80ec3f676e17debf
1498223432135,480,4718,480,,80ec3f676e17debf
1498223432135,480,4718,480,,80ec3f676e17debf
