timestamp, light1, light2, light3, UUID 
1497864762291,1252,4982,1252,,80ec3f676e17debf
1497864762291,1252,4982,1252,,80ec3f676e17debf
1497864762464,1195,4944,1195,,80ec3f676e17debf
1497864762464,1195,4944,1195,,80ec3f676e17debf
1497864762649,1153,4927,1153,,80ec3f676e17debf
1497864762649,1153,4927,1153,,80ec3f676e17debf
1497864762827,1271,5155,1271,,80ec3f676e17debf
1497864762827,1271,5155,1271,,80ec3f676e17debf
1497864763017,1168,5022,1168,,80ec3f676e17debf
1497864763186,1137,5011,1137,,80ec3f676e17debf
1497864763186,1137,5011,1137,,80ec3f676e17debf
1497864763363,1216,5179,1216,,80ec3f676e17debf
1497864763363,1216,5179,1216,,80ec3f676e17debf
1497864763545,1101,5018,1101,,80ec3f676e17debf
1497864763545,1101,5018,1101,,80ec3f676e17debf
1497864763724,1047,4979,1047,,80ec3f676e17debf
1497864763724,1047,4979,1047,,80ec3f676e17debf
1497864763913,1112,5117,1112,,80ec3f676e17debf
1497864764085,1009,5004,1009,,80ec3f676e17debf
1497864764085,1009,5004,1009,,80ec3f676e17debf
1497864764272,952,4957,952,,80ec3f676e17debf
1497864764272,952,4957,952,,80ec3f676e17debf
1497864764446,1014,5068,1014,,80ec3f676e17debf
1497864764446,1014,5068,1014,,80ec3f676e17debf
1497864764630,927,4990,927,,80ec3f676e17debf
1497864764630,927,4990,927,,80ec3f676e17debf
1497864764808,913,4984,913,,80ec3f676e17debf
1497864764984,942,5064,942,,80ec3f676e17debf
1497864764984,942,5064,942,,80ec3f676e17debf
1497864765163,976,5166,976,,80ec3f676e17debf
1497864765163,976,5166,976,,80ec3f676e17debf
1497864765343,849,5076,849,,80ec3f676e17debf
1497864765343,849,5076,849,,80ec3f676e17debf
1497864765523,788,5078,788,,80ec3f676e17debf
1497864765523,788,5078,788,,80ec3f676e17debf
1497864765711,743,5001,743,,80ec3f676e17debf
1497864765890,689,5001,689,,80ec3f676e17debf
1497864765890,689,5001,689,,80ec3f676e17debf
1497864766071,677,5026,677,,80ec3f676e17debf
1497864766071,677,5026,677,,80ec3f676e17debf
1497864766244,684,5092,684,,80ec3f676e17debf
1497864766244,684,5092,684,,80ec3f676e17debf
1497864766425,723,5140,723,,80ec3f676e17debf
1497864766425,723,5140,723,,80ec3f676e17debf
1497864766603,706,5133,706,,80ec3f676e17debf
1497864766783,652,5143,652,,80ec3f676e17debf
1497864766783,652,5143,652,,80ec3f676e17debf
1497864766964,668,5117,668,,80ec3f676e17debf
1497864766964,668,5117,668,,80ec3f676e17debf
1497864767149,682,5187,682,,80ec3f676e17debf
1497864767149,682,5187,682,,80ec3f676e17debf
1497864767324,609,5089,609,,80ec3f676e17debf
1497864767324,609,5089,609,,80ec3f676e17debf
1497864767504,614,5126,614,,80ec3f676e17debf
1497864767684,631,5204,631,,80ec3f676e17debf
1497864767684,631,5204,631,,80ec3f676e17debf
1497864767868,583,5111,583,,80ec3f676e17debf
1497864767868,583,5111,583,,80ec3f676e17debf
1497864768045,576,5107,576,,80ec3f676e17debf
1497864768045,576,5107,576,,80ec3f676e17debf
1497864768224,622,5237,622,,80ec3f676e17debf
1497864768224,622,5237,622,,80ec3f676e17debf
1497864768403,553,5214,553,,80ec3f676e17debf
1497864768585,543,5209,543,,80ec3f676e17debf
1497864768585,543,5209,543,,80ec3f676e17debf
1497864768765,560,5297,560,,80ec3f676e17debf
1497864768765,560,5297,560,,80ec3f676e17debf
1497864768944,542,5293,542,,80ec3f676e17debf
1497864768944,542,5293,542,,80ec3f676e17debf
1497864769125,529,5290,529,,80ec3f676e17debf
1497864769305,579,5422,579,,80ec3f676e17debf
1497864769305,579,5422,579,,80ec3f676e17debf
1497864769489,544,5336,544,,80ec3f676e17debf
1497864769489,544,5336,544,,80ec3f676e17debf
1497864769665,492,5327,492,,80ec3f676e17debf
1497864769665,492,5327,492,,80ec3f676e17debf
1497864769844,499,5328,499,,80ec3f676e17debf
1497864769844,499,5328,499,,80ec3f676e17debf
1497864770024,504,5375,504,,80ec3f676e17debf
1497864770024,504,5375,504,,80ec3f676e17debf
1497864770203,466,5371,466,,80ec3f676e17debf
1497864770391,473,5372,473,,80ec3f676e17debf
1497864770391,473,5372,473,,80ec3f676e17debf
1497864770565,488,5422,488,,80ec3f676e17debf
1497864770565,488,5422,488,,80ec3f676e17debf
1497864770749,459,5370,459,,80ec3f676e17debf
1497864770749,459,5370,459,,80ec3f676e17debf
1497864770924,464,5422,464,,80ec3f676e17debf
1497864770924,464,5422,464,,80ec3f676e17debf
1497864771105,468,5422,468,,80ec3f676e17debf
1497864771288,438,5368,438,,80ec3f676e17debf
1497864771288,438,5368,438,,80ec3f676e17debf
1497864771464,436,5422,436,,80ec3f676e17debf
1497864771464,436,5422,436,,80ec3f676e17debf
1497864771645,443,5422,443,,80ec3f676e17debf
1497864771645,443,5422,443,,80ec3f676e17debf
1497864771826,419,5422,419,,80ec3f676e17debf
1497864771826,419,5422,419,,80ec3f676e17debf
1497864772004,412,5422,412,,80ec3f676e17debf
1497864772184,412,5422,412,,80ec3f676e17debf
1497864772184,412,5422,412,,80ec3f676e17debf
1497864772364,398,5422,398,,80ec3f676e17debf
1497864772364,398,5422,398,,80ec3f676e17debf
1497864772547,376,5359,376,,80ec3f676e17debf
1497864772547,376,5359,376,,80ec3f676e17debf
1497864772727,390,5361,390,,80ec3f676e17debf
1497864772727,390,5361,390,,80ec3f676e17debf
1497864772906,391,5422,391,,80ec3f676e17debf
1497864773086,377,5422,377,,80ec3f676e17debf
1497864773086,377,5422,377,,80ec3f676e17debf
1497864773267,374,5422,374,,80ec3f676e17debf
1497864773267,374,5422,374,,80ec3f676e17debf
1497864773445,360,5422,360,,80ec3f676e17debf
1497864773445,360,5422,360,,80ec3f676e17debf
1497864773625,339,5422,339,,80ec3f676e17debf
1497864773625,339,5422,339,,80ec3f676e17debf
1497864773809,346,5422,346,,80ec3f676e17debf
1497864773984,353,5422,353,,80ec3f676e17debf
1497864773984,353,5422,353,,80ec3f676e17debf
1497864774182,325,5422,325,,80ec3f676e17debf
1497864774182,325,5422,325,,80ec3f676e17debf
1497864774344,322,5422,322,,80ec3f676e17debf
1497864774344,322,5422,322,,80ec3f676e17debf
1497864774528,317,5497,317,,80ec3f676e17debf
1497864774528,317,5497,317,,80ec3f676e17debf
1497864774718,292,5504,292,,80ec3f676e17debf
1497864774885,280,5593,280,,80ec3f676e17debf
1497864774885,280,5593,280,,80ec3f676e17debf
1497864775064,284,5593,284,,80ec3f676e17debf
1497864775064,284,5593,284,,80ec3f676e17debf
1497864775255,280,5593,280,,80ec3f676e17debf
1497864775255,280,5593,280,,80ec3f676e17debf
1497864775429,268,5698,268,,80ec3f676e17debf
1497864775429,268,5698,268,,80ec3f676e17debf
1497864775604,261,5705,261,,80ec3f676e17debf
1497864775784,252,5821,252,,80ec3f676e17debf
1497864775784,252,5821,252,,80ec3f676e17debf
1497864775964,240,5949,240,,80ec3f676e17debf
1497864775964,240,5949,240,,80ec3f676e17debf
1497864776145,240,5949,240,,80ec3f676e17debf
