UUID,iqrAccX,iqrAccY,iqrAccZ,iqrAccXYZ,meanAccX,meanAccY,meanAccZ,meanAccXYZ, covarianceAccXY, covarianceAccXZ, covarianceAccYZ,pressureDerivative, pressureIQR, iqrGyroX, iqrGyroY, iqrGyroZ, iqrGyroMagnitude, meanGyroX, meanGyroY, meanGyroZ, meanGyroMagnitude, covarianceGyroXY, covarianceGyroXZ, covarianceGyroYZ, class, timestamp 
80ec3f676e17debf,-0.8136718561075981,-0.3614912781785306,0.8239052686166237,0.8326376116428209,-1.3995039933316105,-1.6179185857136265,1.9145742727642465,-0.5970294069023101,-0.3140325137297812,-0.669460769900825,0.06815377103961838,-0.3770827768457473,0.905929701426025,-1.027582484034068,-1.1102742728331814,-0.7009759150976839,-1.0101188874899467,-1.0871955316917565,-1.1702535842905013,-0.962213414813004,-1.1651697268715409,-0.4545551262725143,-0.6189479403288647,-0.4826437857622291,undefined,1498223287379
80ec3f676e17debf,-0.8025837324691671,-0.4636320047636214,1.070815833883169,1.0648732768100693,-1.4799484295713952,-1.6773328200071218,1.942037338094428,-0.5287622129335307,-0.39018759570029193,-0.6050048426321283,0.05231688873856675,-0.41410163154720653,0.47074142156862747,-0.9659969049724272,-1.0583628071420512,-0.5039973818952832,-1.0942245789994491,-1.0563127186361025,-1.1175967996720109,-0.7935941217324624,-1.0972077367228077,-0.46770541023858797,-0.6254202671587509,-0.49146733776929336,undefined,1498223288886
80ec3f676e17debf,-0.6806144759626567,-0.4683281247485925,0.43471841944793277,0.47692590194126905,-1.2594950844597719,-1.7317158977476967,1.974762644869214,-0.35325018297287225,-0.45565464283512325,-0.5151682918623143,0.04529562755825611,-0.083618827931215,0.10083138368983958,-0.9224622611706927,-1.0704352195790634,-0.30006661753372293,-1.0823774911736903,-0.9973942377343712,-1.0012174417800308,0.0058287528541260125,-0.8557576837154671,-0.4482280384142403,-0.5570487128521792,-0.07871429733404921,undefined,1498223290401
80ec3f676e17debf,-0.6182438085321283,-0.6778927129018665,-0.2332795355636758,-0.1950777049281841,-1.217426583336374,-1.7551457146962859,1.981497574158416,-0.35782405121254396,-0.44913271827714335,-0.5669040394055447,0.07341801047597986,0.06018545254611591,0.2923142268270945,-0.919276798007676,-1.0800931745602678,-0.29311447116872796,-1.058120738652282,-0.99772107853754,-0.9912670585272102,0.13999305604434706,-0.8258616945884625,-0.44656122788206504,-0.5496741375431896,-0.11588275317296258,undefined,1498223291892
80ec3f676e17debf,-0.586365502673166,-0.8481272377250229,-0.7111500146031563,-0.7772067369613306,-1.3623931959921842,-1.8148021891689659,1.9735608210200015,-0.5211755604851478,-0.3455495316086561,-0.6360239667006344,0.09040487162084458,-0.04257458181893218,0.40111129679144386,-0.9914805908503997,-1.0656062568129285,-0.29543181089331066,-1.0205118040855115,-1.0369419614782427,-1.03205560410172,0.011215103757719721,-0.8824457455407959,-0.43477313989007876,-0.5102401451498502,-0.04356186027468203,undefined,1498223293384
80ec3f676e17debf,-0.8607963600050482,-1.0124916125669654,-0.872567131125024,-0.9326392634727065,-1.670449821932223,-1.8369299599156412,1.9895132224482612,-0.5136927837245896,-0.2595339250679847,-0.7001219939448892,0.08913471284126405,0.01781921971355647,0.3619443516042781,-1.0318297520629556,-1.0680207602826974,-0.3556841276303409,-0.9505446589962318,-1.0654497323660164,-1.0765113475079817,-0.0540038997228128,-0.9233249744735013,-0.42264619494192973,-0.4898202154112018,0.024933713371825896,undefined,1498223294890
80ec3f676e17debf,-1.2779867768329065,-1.026579914065894,-0.9631649204988707,-1.0186712305190768,-1.9367979475375734,-1.8582727788729536,1.9938629309949145,-0.5372329861532555,-0.2944643251948238,-0.6651373154620668,0.08770902970712992,-0.27533238656002335,-0.6520443404634582,-1.0934153408376772,-1.1476988226175309,-0.45996684600261356,-1.0162372897625347,-1.1033777779869418,-1.136855605388571,-0.19867600430243085,-0.9930422594671842,-0.4060161514201936,-0.4537629830392642,0.10345777471099268,undefined,1498223296389
80ec3f676e17debf,-1.3084790995858866,-0.903893691774547,-0.9389202555238784,-0.9954932816744878,-1.9516402101105386,-1.8913759259902334,1.9897499183777727,-0.5908853600955374,-0.2870424744185808,-0.6663745717705873,0.09099761066073415,-0.09899731301396046,-0.7260263480392157,-1.1135899279193424,-1.2454855487015644,-0.9350327671659554,-1.1969054310707838,-1.1392140429705926,-1.2382050703143876,-0.9498159765305192,-1.2094352409313431,-0.4626110709400998,-0.6553379333859428,-0.500197615273905,undefined,1498223297882
80ec3f676e17debf,-1.214230109043691,-0.878652017627335,-0.9108477798166708,-0.9763685144923652,-1.8875808901452662,-1.896633020403098,1.9925822161843585,-0.5693979036371491,-0.27894489061905686,-0.6700304892934569,0.08784413024822647,0.015487066885744081,-0.7129706996434938,-1.1029717206136467,-1.2623869551942046,-1.07175906135931,-1.271516965955755,-1.1427947643083027,-1.2537405070991292,-1.0681391088349892,-1.2391731744227297,-0.46689157265361236,-0.6636322765371555,-0.5188166538726746,undefined,1498223299404
80ec3f676e17debf,-1.0409782785528496,-0.8504752977175084,-0.782607733768129,-0.8406523174690271,-1.7006486339646065,-1.9126768207337002,2.0147935519511386,-0.3929332964860596,-0.2433192723612283,-0.6879773805866921,0.05494572065421604,0.07458855581009258,-0.5998217468805704,-1.0626225432126226,-1.2334131178589678,-1.0230937824218516,-1.2033013936360482,-1.102862095222828,-1.215479679501146,-0.922142492332201,-1.1806237824019348,-0.44494255632819396,-0.6151697694704833,-0.4603485189699826,undefined,1498223300992
